epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1165.57,1.07869,2.80904,0.98818,1.24407,0.24481,0.36364,0.23995,0.08953,0.23489,0.33333,0.18684,0.04796,2.20861,3.92728,2.69461,2.45108,0.0015908,0.0015908,0.0015908
64,1183.76,1.10921,2.68839,0.98495,1.29582,0.43982,0.27273,0.30422,0.12172,0.28518,0.24242,0.1427,0.0434,2.05159,4.09168,2.60879,2.38933,0.0015842,0.0015842,0.0015842
65,1201.83,1.196,3.01454,1.05379,1.3754,0.56984,0.30303,0.38211,0.15292,0.45021,0.24242,0.23954,0.0731,1.97241,4.20768,2.36579,2.3459,0.0015776,0.0015776,0.0015776
66,1219.81,1.0649,2.55491,0.96957,1.26569,0.65603,0.24242,0.35286,0.14425,0.75034,0.21212,0.26,0.0828,1.99492,4.21591,2.48637,2.35043,0.001571,0.001571,0.001571
67,1237.5,1.13239,2.81413,1.01218,1.33389,0.26859,0.33333,0.32438,0.12881,0.41221,0.18182,0.2013,0.06601,2.13759,4.69199,2.6282,2.40873,0.0015644,0.0015644,0.0015644
68,1255.54,1.15098,2.82813,0.99234,1.32731,0.48309,0.27273,0.33041,0.12983,0.31231,0.18182,0.0993,0.0297,2.203,4.93733,2.69231,2.38067,0.0015578,0.0015578,0.0015578
69,1273.04,1.10564,2.65524,1.00328,1.31504,0.29963,0.36364,0.32431,0.15336,0.19846,0.18182,0.10262,0.03621,2.11909,5.37593,2.43145,2.35279,0.0015512,0.0015512,0.0015512
70,1290.78,1.09892,2.78158,0.9832,1.30852,0.32873,0.54545,0.34396,0.16195,0.216,0.33333,0.13671,0.04974,2.10589,5.07077,2.2585,2.33677,0.0015446,0.0015446,0.0015446
71,1308.63,1.12455,2.64965,1.04502,1.32539,0.33797,0.60606,0.35793,0.15203,0.2593,0.24242,0.13735,0.04238,2.20411,5.28134,2.21768,2.53081,0.001538,0.001538,0.001538
72,1326.68,1.04763,2.71528,0.92365,1.27267,0.28978,0.42424,0.35734,0.15062,0.20676,0.27273,0.14046,0.03651,2.14223,5.57363,2.26112,2.48126,0.0015314,0.0015314,0.0015314
73,1344.67,1.08739,2.72886,0.9711,1.28633,0.57867,0.33333,0.39095,0.16466,0.45278,0.24242,0.18817,0.05024,2.16209,5.51806,2.26922,2.5007,0.0015248,0.0015248,0.0015248
74,1362.8,1.08975,2.70322,0.93596,1.27478,0.41498,0.48485,0.37264,0.16529,0.28464,0.33333,0.17857,0.05782,2.21866,5.84475,2.14465,2.60244,0.0015182,0.0015182,0.0015182
75,1380.63,1.07931,2.77315,0.95781,1.28683,0.4727,0.57576,0.42591,0.1645,0.36719,0.36364,0.21454,0.062,2.26293,5.35526,2.14017,2.65468,0.0015116,0.0015116,0.0015116
76,1398.46,1.11413,2.63973,0.97665,1.30195,0.53639,0.45455,0.44914,0.17652,0.31874,0.39394,0.2692,0.06439,2.25152,5.01198,2.16169,2.55095,0.001505,0.001505,0.001505
77,1416.1,1.06399,2.51911,0.95045,1.26677,0.50777,0.51515,0.43782,0.1722,0.47768,0.48485,0.41474,0.13086,2.21371,4.49662,2.2081,2.49254,0.0014984,0.0014984,0.0014984
78,1433.98,1.04429,2.51458,0.89858,1.22757,0.66856,0.42424,0.46733,0.18322,0.64718,0.39394,0.42226,0.14752,2.17699,4.37875,2.12897,2.47536,0.0014918,0.0014918,0.0014918
79,1451.79,1.00964,2.4387,0.88599,1.23701,0.66988,0.49214,0.52637,0.20413,0.5966,0.42424,0.4219,0.14281,2.17313,4.5607,2.05014,2.43699,0.0014852,0.0014852,0.0014852
80,1469.7,1.05637,2.79114,0.94358,1.2921,0.59051,0.60606,0.50488,0.19378,0.58446,0.39394,0.39083,0.13313,2.17207,4.65773,2.13635,2.38344,0.0014786,0.0014786,0.0014786
81,1487.68,1.11419,2.65436,0.923,1.28758,0.40693,0.45455,0.42975,0.18834,0.66808,0.33333,0.41581,0.14335,2.27589,4.58685,2.1428,2.39247,0.001472,0.001472,0.001472
82,1505.84,1.0733,2.64108,0.92293,1.26417,0.42396,0.39394,0.40486,0.17808,0.49411,0.48485,0.41548,0.1517,2.39658,4.4741,2.21085,2.4964,0.0014654,0.0014654,0.0014654
83,1523.66,1.08462,2.59676,0.97393,1.29442,0.41808,0.30303,0.33568,0.1431,0.54708,0.33333,0.3589,0.11196,2.35456,4.57863,2.40074,2.44364,0.0014588,0.0014588,0.0014588
84,1541.33,1.0958,2.63465,0.91622,1.29004,0.41175,0.30303,0.31684,0.1336,0.38256,0.3569,0.28899,0.10063,2.21047,4.89427,2.65438,2.30554,0.0014522,0.0014522,0.0014522
85,1559.35,1.09897,2.72556,0.90771,1.2525,0.4665,0.30303,0.34929,0.13869,0.4665,0.30303,0.30742,0.10784,2.12734,4.80432,2.60832,2.23674,0.0014456,0.0014456,0.0014456
86,1576.96,0.99388,2.51005,0.90819,1.24375,0.31293,0.42424,0.34124,0.16272,0.52555,0.27273,0.31186,0.1281,1.98563,4.64883,2.54654,2.10221,0.001439,0.001439,0.001439
87,1594.6,1.07977,2.68864,0.94671,1.2697,0.32403,0.48485,0.348,0.15848,0.43985,0.30303,0.31109,0.1268,2.09883,4.13487,2.46679,2.19873,0.0014324,0.0014324,0.0014324
88,1612.3,1.01577,2.53503,0.9334,1.25542,0.66342,0.39394,0.43959,0.17889,0.56096,0.33333,0.3596,0.12393,2.08302,3.83603,2.21477,2.25828,0.0014258,0.0014258,0.0014258
89,1630.24,1.05731,2.67099,0.8674,1.23766,0.32494,0.63636,0.37505,0.13688,0.29388,0.57576,0.32067,0.08488,2.1503,4.17407,2.29818,2.34528,0.0014192,0.0014192,0.0014192
90,1648.23,1.06747,2.62276,0.91908,1.25585,0.31777,0.46592,0.36197,0.13748,0.28091,0.36364,0.26842,0.0746,2.15249,4.57936,2.37932,2.39302,0.0014126,0.0014126,0.0014126
91,1666.19,1.04508,2.61435,0.8799,1.26869,0.44081,0.63636,0.45193,0.1839,0.31609,0.45455,0.27453,0.07374,2.08137,4.35264,2.08414,2.27328,0.001406,0.001406,0.001406
92,1684.03,1.03101,2.6728,0.9249,1.25266,0.5488,0.62677,0.53409,0.1899,0.35556,0.39394,0.24232,0.06901,2.11792,4.39513,2.01689,2.2855,0.0013994,0.0013994,0.0013994
93,1701.93,1.07619,2.61514,0.89443,1.26933,0.45639,0.63636,0.40534,0.15711,0.34604,0.46517,0.25755,0.07413,2.03495,4.55112,2.14438,2.26757,0.0013928,0.0013928,0.0013928
94,1719.5,1.03663,2.60504,0.87475,1.25469,0.36901,0.51515,0.35176,0.15012,0.27078,0.49522,0.24335,0.0711,1.98345,4.91834,2.2732,2.3662,0.0013862,0.0013862,0.0013862
95,1737.48,0.98783,2.38542,0.84918,1.18461,0.40392,0.57576,0.35515,0.14558,0.28093,0.42424,0.22015,0.07045,2.01279,5.05928,2.37397,2.38219,0.0013796,0.0013796,0.0013796
96,1755.42,1.01389,2.49017,0.87323,1.24784,0.40861,0.39394,0.30819,0.13795,0.33287,0.36364,0.24339,0.06559,2.02185,4.91722,2.61244,2.31737,0.001373,0.001373,0.001373
97,1772.98,0.96792,2.30162,0.84554,1.20695,0.54288,0.30303,0.29083,0.12969,0.4808,0.24242,0.21343,0.06389,2.03091,4.60103,2.80721,2.30544,0.0013664,0.0013664,0.0013664
98,1790.66,1.03189,2.51777,0.84553,1.23133,0.48776,0.39394,0.30253,0.14351,0.59588,0.27273,0.24826,0.07587,2.02316,4.54833,2.80037,2.35592,0.0013598,0.0013598,0.0013598
99,1808.67,1.01711,2.483,0.87011,1.22511,0.54035,0.33333,0.30757,0.14909,0.54035,0.33333,0.27573,0.08447,1.97733,4.54268,2.79618,2.36533,0.0013532,0.0013532,0.0013532
100,1826.7,0.99242,2.36623,0.83595,1.22646,0.61237,0.33333,0.32194,0.14586,0.61237,0.33333,0.27707,0.0772,2.07827,4.61813,2.76561,2.43864,0.0013466,0.0013466,0.0013466
101,1844.3,0.95255,2.3439,0.8302,1.1962,0.48692,0.37413,0.28478,0.12095,0.41061,0.30303,0.19056,0.05433,2.10176,4.45892,2.78827,2.37039,0.00134,0.00134,0.00134
102,1862.22,0.96342,2.49109,0.84323,1.19971,0.39091,0.33333,0.25395,0.11018,0.31817,0.27273,0.1784,0.04895,2.10513,4.6038,2.79962,2.32834,0.0013334,0.0013334,0.0013334
103,1879.99,0.96506,2.44903,0.8241,1.19509,0.27705,0.39394,0.24106,0.10003,0.46122,0.24242,0.19255,0.05821,2.0402,4.90389,2.69381,2.30089,0.0013268,0.0013268,0.0013268
104,1897.79,0.95979,2.41206,0.80693,1.1958,0.55154,0.21212,0.22559,0.10127,0.49359,0.18182,0.15638,0.05188,2.03807,5.0199,2.63462,2.32171,0.0013202,0.0013202,0.0013202
105,1915.61,0.93427,2.57293,0.81967,1.21274,0.40665,0.24242,0.27163,0.11899,0.34837,0.15152,0.17548,0.04004,2.02694,5.14374,2.71563,2.32046,0.0013136,0.0013136,0.0013136
106,1933.44,0.94589,2.39755,0.80634,1.18915,0.33708,0.36364,0.29808,0.13399,0.13473,0.18182,0.06045,0.01904,2.01713,5.17078,2.70887,2.26242,0.001307,0.001307,0.001307
107,1951.38,0.93028,2.38975,0.77863,1.181,0.43157,0.45455,0.34462,0.1519,0.28835,0.21212,0.11728,0.02906,1.99734,5.09772,2.67779,2.20595,0.0013004,0.0013004,0.0013004
108,1969.43,0.90557,2.30645,0.76127,1.16925,0.42076,0.42424,0.32762,0.1539,0.18134,0.36364,0.11459,0.02967,2.009,5.15517,2.67898,2.2864,0.0012938,0.0012938,0.0012938
109,1987.44,0.98085,2.44979,0.78953,1.18908,0.28151,0.48683,0.32672,0.15077,0.185,0.36364,0.14126,0.04369,2.00675,4.96575,2.64964,2.27846,0.0012872,0.0012872,0.0012872
110,2005.66,0.89273,2.23065,0.71217,1.13777,0.33579,0.45455,0.32146,0.15093,0.23722,0.33333,0.18755,0.06086,2.0828,4.73641,2.74756,2.27705,0.0012806,0.0012806,0.0012806
111,2023.57,0.89538,2.32419,0.75806,1.16148,0.34744,0.51515,0.34762,0.14418,0.26407,0.39394,0.26191,0.07106,2.15749,4.40152,2.64804,2.32019,0.001274,0.001274,0.001274
112,2041.3,0.89604,2.23154,0.76722,1.17135,0.39623,0.39394,0.35347,0.13965,0.23392,0.33333,0.2473,0.0681,2.24273,4.3305,2.49323,2.33449,0.0012674,0.0012674,0.0012674
113,2058.83,0.9349,2.25282,0.80376,1.18012,0.40301,0.51515,0.37125,0.12892,0.2644,0.36364,0.20098,0.04845,2.20638,4.14738,2.42144,2.24617,0.0012608,0.0012608,0.0012608
114,2076.24,0.93401,2.29993,0.80598,1.19819,0.48388,0.45455,0.37593,0.13306,0.40172,0.38677,0.23879,0.05856,2.14401,4.22878,2.45249,2.21966,0.0012542,0.0012542,0.0012542
115,2094.36,0.92225,2.24527,0.79093,1.1155,0.50816,0.45455,0.40447,0.14756,0.38598,0.36364,0.2423,0.07044,2.07633,4.20444,2.37923,2.18931,0.0012476,0.0012476,0.0012476
116,2112.41,0.95531,2.37706,0.78873,1.16211,0.44892,0.45455,0.38835,0.1606,0.54513,0.45455,0.38823,0.10551,2.13284,4.46926,2.13895,2.31211,0.001241,0.001241,0.001241
117,2130.06,0.9271,2.31998,0.81812,1.17155,0.55521,0.48485,0.42552,0.19143,0.52012,0.45455,0.39338,0.12409,2.08783,4.40625,1.90335,2.32345,0.0012344,0.0012344,0.0012344
118,2147.87,0.91224,2.25789,0.78141,1.17218,0.61179,0.48485,0.45919,0.19936,0.57234,0.45455,0.41718,0.16166,2.11673,4.3369,1.93529,2.30107,0.0012278,0.0012278,0.0012278
119,2165.76,0.92488,2.55133,0.80549,1.18999,0.54966,0.48095,0.46854,0.18535,0.43872,0.45455,0.38519,0.14779,2.15095,4.61531,2.00147,2.39407,0.0012212,0.0012212,0.0012212
120,2183.3,0.96516,2.40328,0.8167,1.20332,0.41048,0.63636,0.46734,0.15609,0.36991,0.57576,0.37976,0.1119,2.18726,5.10775,1.97437,2.46325,0.0012146,0.0012146,0.0012146
121,2201.17,0.90008,2.22344,0.76897,1.15606,0.50808,0.45455,0.46809,0.14706,0.54244,0.36364,0.38174,0.09873,2.23946,5.17658,2.16205,2.41583,0.001208,0.001208,0.001208
122,2218.89,0.89755,2.30887,0.79092,1.17388,0.59456,0.48485,0.46576,0.16104,0.51955,0.42606,0.36543,0.11376,2.23995,4.86392,2.27152,2.4006,0.0012014,0.0012014,0.0012014
123,2236.66,0.94139,2.4775,0.77196,1.1821,0.64426,0.51515,0.46818,0.16692,0.50924,0.42424,0.32086,0.12898,2.21852,4.46603,2.29546,2.38201,0.0011948,0.0011948,0.0011948
124,2254.4,0.86314,2.15804,0.7115,1.14616,0.57287,0.45455,0.39718,0.14834,0.6329,0.30303,0.31074,0.12275,2.19539,4.43152,2.20999,2.38812,0.0011882,0.0011882,0.0011882
125,2272.31,0.86839,2.17076,0.73344,1.12576,0.42638,0.45455,0.38386,0.16315,0.54674,0.33333,0.3392,0.13305,2.17597,4.69141,2.18664,2.45245,0.0011816,0.0011816,0.0011816
126,2290.01,0.92299,2.34632,0.7907,1.18638,0.41678,0.57576,0.41054,0.1685,0.51878,0.39394,0.35628,0.13642,2.20516,4.77543,2.16643,2.51538,0.001175,0.001175,0.001175
